Date,close
2015010910:45:00,244.96
2015010910:50:00,245.12
2015010910:55:00,245.1
2015010911:00:00,245.06
2015010911:05:00,245.16
2015010911:10:00,245
2015010911:15:00,244.9
2015010911:20:00,244.76
2015010911:25:00,244.86
2015010911:30:00,244.9
2015010913:35:00,245.12
2015010913:40:00,245.12
2015010913:45:00,245.12
2015010913:50:00,245.1
2015010913:55:00,245
2015010914:00:00,245.06
2015010914:05:00,245.04
2015010914:10:00,245.12
2015010914:15:00,245.16
2015010914:20:00,245.16
2015010914:25:00,245.16
2015010914:30:00,245.36
2015010914:35:00,245.3
2015010914:40:00,245.16
2015010914:45:00,245.2
2015010914:50:00,245.16
2015010914:55:00,245.22
2015010921:10:00,244.9
2015010921:15:00,245.12
2015010921:20:00,245.1
2015010921:25:00,245.06
2015010921:30:00,244.86
2015010921:35:00,245.56
2015010921:40:00,245.3
2015010921:45:00,244.56
2015010921:50:00,245.24
2015010921:55:00,245.5
2015010922:00:00,245.46
2015010922:05:00,245.5
2015010922:10:00,245.3
2015010922:15:00,245.24
2015010922:20:00,245.36
2015010922:25:00,245.22
2015010922:30:00,245.26
2015010922:35:00,245.42
2015010922:40:00,245.4
2015010922:45:00,245.26
2015010922:50:00,245.44
2015010922:55:00,245.34
2015010923:00:00,245.6
2015010923:05:00,245.86
2015010923:10:00,245.96
2015010923:15:00,246.06
2015010923:20:00,245.94
2015010923:25:00,246.26
2015010923:30:00,246.26
2015010923:35:00,246.52
2015010923:40:00,246.3
2015010923:45:00,246.3
2015010923:50:00,246.06
2015010923:55:00,245.7
2015011200:00:00,245.92
2015011200:05:00,246.12
2015011200:10:00,246.06
2015011200:15:00,246.1
2015011200:20:00,246.12
2015011200:25:00,246.06
2015011200:30:00,245.8
2015011200:35:00,245.82
2015011200:40:00,245.86
2015011200:45:00,245.76
2015011200:50:00,245.6
2015011200:55:00,245.7
2015011201:00:00,245.7
2015011201:05:00,245.7
2015011201:10:00,245.8
2015011201:15:00,245.7
2015011201:20:00,245.92
2015011201:25:00,245.96
2015011201:30:00,245.7
2015011201:35:00,245.82
2015011201:40:00,245.84
2015011201:45:00,245.9
2015011201:50:00,245.9
2015011201:55:00,245.96
2015011202:00:00,245.92
2015011202:05:00,245.9
2015011202:10:00,245.9
2015011202:15:00,245.84
2015011202:20:00,245.76
2015011202:25:00,245.7
2015011202:30:00,245.66
2015011209:05:00,246.86
2015011209:15:00,247.4
2015011209:20:00,247.7
2015011209:25:00,247.62
2015011209:30:00,247.46
2015011209:35:00,247.56
2015011209:40:00,247.5
2015011209:45:00,247.56
2015011209:50:00,247.5
2015011209:55:00,247.4
2015011210:00:00,247.46
2015011210:05:00,247.46
2015011210:10:00,247.44
2015011210:15:00,247.36
2015011210:35:00,247.4
2015011210:40:00,247.22
2015011210:45:00,247.36
2015011210:50:00,247.56
2015011210:55:00,247.52
2015011211:00:00,247.42
2015011211:05:00,247.42
2015011211:10:00,247.42
2015011211:15:00,247.36
2015011211:20:00,247.56
2015011211:25:00,247.5
2015011211:30:00,247.56
2015011213:35:00,247.7
2015011213:40:00,247.8
2015011213:45:00,247.82
2015011213:50:00,247.7
2015011213:55:00,248.16
2015011214:00:00,248.3
2015011214:05:00,248.26
2015011214:10:00,248.36
2015011214:15:00,248.26
2015011214:20:00,248.26
2015011214:25:00,248.2
2015011214:30:00,248.26
2015011214:35:00,248.16
2015011214:40:00,248.16
2015011214:45:00,248.16
2015011214:50:00,248.1
2015011214:55:00,247.82
2015011221:10:00,246.86
2015011221:15:00,246.86
2015011221:20:00,247.06
2015011221:25:00,247.02
2015011221:30:00,247.06
2015011221:35:00,246.96
2015011221:40:00,246.86
2015011221:45:00,246.9
2015011221:50:00,247.12
2015011221:55:00,247.12
2015011222:00:00,247.16
2015011222:05:00,247.16
2015011222:10:00,247.16
2015011222:15:00,246.96
2015011222:20:00,247
2015011222:25:00,247
2015011222:30:00,247.02
2015011222:35:00,247
2015011222:40:00,247.26
2015011222:45:00,247.2
2015011222:50:00,247.32
2015011222:55:00,247.8
2015011223:00:00,247.56
2015011223:05:00,247.44
2015011223:10:00,247.56
2015011223:15:00,247.46
2015011223:20:00,247.44
2015011223:25:00,247.6
2015011223:30:00,247.56
2015011223:35:00,247.66
